date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:48:16	196/196	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2019%20Jun%202024%2009:02:31%20GMT	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/robots.txt		(from )
14:48:16	64435/64435	---MCZ	200	added ('OK')	text/html	etag:W/%22fbb3-5e80d4070c259%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/	D:/myproject1/movie_recommender/movie/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/index.html	(from )
14:48:20	177145/177145	---MCZ	200	added ('OK')	text/css	etag:W/%22631804e2-2b3f9%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/css/style.css	D:/myproject1/movie_recommender/movie/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/css/style.css	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
14:48:20	1624/1624	---M--	200	added ('OK')	image/png	etag:%22631804e5-658%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/images/logo1.png	D:/myproject1/movie_recommender/movie/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/images/logo1.png	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
14:48:21	756537/756537	---MCZ	200	added ('OK')	text/css	etag:W/%22631804e3-b8b39%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/css/plugins.css	D:/myproject1/movie_recommender/movie/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/css/plugins.css	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
14:48:21	64435/64435	---MCZ	200	added ('OK')	text/html	etag:W/%22631804e0-fbb3%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/index.html	D:/myproject1/movie_recommender/movie/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/index-2.html	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
14:48:22	53899/53899	---MCZ	200	added ('OK')	text/html	etag:W/%22631804de-d28b%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/homev2.html	D:/myproject1/movie_recommender/movie/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/homev2.html	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
14:48:22	63234/63234	---MCZ	200	added ('OK')	text/html	etag:W/%22631804df-f702%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/homev3.html	D:/myproject1/movie_recommender/movie/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/homev3.html	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
14:48:22	25971/25971	---MCZ	200	added ('OK')	text/html	etag:W/%22631804df-6573%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/moviegrid.html	D:/myproject1/movie_recommender/movie/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/moviegrid.html	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
14:48:22	24125/24125	---MCZ	200	added ('OK')	text/html	etag:W/%22631804e0-5e3d%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/moviegridfw.html	D:/myproject1/movie_recommender/movie/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/moviegridfw.html	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
14:48:23	19829/19829	---MCZ	200	added ('OK')	text/html	etag:W/%22631804e0-4d75%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/movielist.html	D:/myproject1/movie_recommender/movie/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/movielist.html	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
14:48:23	53110/53110	---MCZ	200	added ('OK')	text/html	etag:W/%22631804e0-cf76%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/moviesingle.html	D:/myproject1/movie_recommender/movie/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/moviesingle.html	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
14:48:23	56608/56608	---MCZ	200	added ('OK')	text/html	etag:W/%22631804e1-dd20%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/seriessingle.html	D:/myproject1/movie_recommender/movie/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/seriessingle.html	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
14:48:24	18065/18065	---MCZ	200	added ('OK')	text/html	etag:W/%22631804dd-4691%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/celebritygrid01.html	D:/myproject1/movie_recommender/movie/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/celebritygrid01.html	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
14:48:24	26358/26358	---MCZ	200	added ('OK')	text/html	etag:W/%22631804de-66f6%22	http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/celebritygrid02.html	D:/myproject1/movie_recommender/movie/busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/celebritygrid02.html	(from http://busterhtml.mbkip3ms9u-e92498n216kr.p.temp-site.link/)
